firm,quarter_end,quarter,year,report_date,actual_eps,sic_code,source_ticker
AMAT-US,2026-04-30,2026Q2,2026,20260514,3.5119,3674,AMAT-US
AMAT-US,2026-01-30,2026Q1,2026,20260212,2.5357,3674,AMAT-US
AMAT-US,2025-10-31,2025Q4,2025,20251113,2.3772,3674,AMAT-US
AMAT-US,2025-07-31,2025Q3,2025,20250814,2.2182,3674,AMAT-US
AMAT-US,2025-04-30,2025Q2,2025,20250515,2.6318,3674,AMAT-US
AMAT-US,2025-01-31,2025Q1,2025,20250213,1.4469,3674,AMAT-US
AMAT-US,2024-10-31,2024Q4,2024,20241114,2.0906,3674,AMAT-US
AMAT-US,2024-07-31,2024Q3,2024,20240815,2.0468,3674,AMAT-US
AMAT-US,2024-04-30,2024Q2,2024,20240516,2.0598,3674,AMAT-US
AMAT-US,2024-01-31,2024Q1,2024,20240215,2.4122,3674,AMAT-US
AMAT-US,2023-10-31,2023Q4,2023,20231116,2.38,3674,AMAT-US
AMAT-US,2023-07-31,2023Q3,2023,20230817,1.8505,3674,AMAT-US
AMD-US,2026-03-31,2026Q1,2026,20260505,0.8382,3674,AMD-US
AMD-US,2025-12-31,2025Q4,2025,20260203,0.9163,3674,AMD-US
AMD-US,2025-09-30,2025Q3,2025,20251104,0.7575,3674,AMD-US
AMD-US,2025-06-30,2025Q2,2025,20250805,0.535,3674,AMD-US
AMD-US,2025-03-31,2025Q1,2025,20250506,0.436,3674,AMD-US
AMD-US,2024-12-31,2024Q4,2024,20250204,0.295,3674,AMD-US
AMD-US,2024-09-30,2024Q3,2024,20241029,0.4713,3674,AMD-US
AMD-US,2024-06-28,2024Q2,2024,20240730,0.1619,3674,AMD-US
AMD-US,2024-03-29,2024Q1,2024,20240430,0.075,3674,AMD-US
AMD-US,2023-12-29,2023Q4,2023,20240130,0.4097,3674,AMD-US
AMD-US,2023-09-29,2023Q3,2023,20231031,0.1836,3674,AMD-US
AMD-US,2023-06-30,2023Q2,2023,20230801,0.0166,3674,AMD-US
AMZN-US,2026-03-31,2026Q1,2026,20260429,2.7823,5961,AMZN-US
AMZN-US,2025-12-31,2025Q4,2025,20260205,1.9508,5961,AMZN-US
AMZN-US,2025-09-30,2025Q3,2025,20251030,1.9536,5961,AMZN-US
AMZN-US,2025-06-30,2025Q2,2025,20250731,1.6809,5961,AMZN-US
AMZN-US,2025-03-31,2025Q1,2025,20250501,1.5869,5961,AMZN-US
AMZN-US,2024-12-31,2024Q4,2024,20250206,1.8572,5961,AMZN-US
AMZN-US,2024-09-30,2024Q3,2024,20241031,1.4278,5961,AMZN-US
AMZN-US,2024-06-28,2024Q2,2024,20240801,1.2593,5961,AMZN-US
AMZN-US,2024-03-29,2024Q1,2024,20240430,0.9776,5961,AMZN-US
AMZN-US,2023-12-29,2023Q4,2023,20240201,1.0013,5961,AMZN-US
AMZN-US,2023-09-29,2023Q3,2023,20231026,0.9357,5961,AMZN-US
AMZN-US,2023-06-30,2023Q2,2023,20230803,0.646,5961,AMZN-US
BJ-US,2026-04-30,2026Q2,2026,20260522,1.1031,5331,BJ-US
BJ-US,2026-01-30,2026Q1,2026,20260305,0.9602,5331,BJ-US
BJ-US,2025-10-31,2025Q4,2025,20251121,1.1526,5331,BJ-US
BJ-US,2025-07-31,2025Q3,2025,20250822,1.1373,5331,BJ-US
BJ-US,2025-04-30,2025Q2,2025,20250522,1.1282,5331,BJ-US
BJ-US,2025-01-31,2025Q1,2025,20250306,0.9214,5331,BJ-US
BJ-US,2024-10-31,2024Q4,2024,20241121,1.1681,5331,BJ-US
BJ-US,2024-07-31,2024Q3,2024,20240822,1.0832,5331,BJ-US
BJ-US,2024-04-30,2024Q2,2024,20240523,0.8278,5331,BJ-US
BJ-US,2024-01-31,2024Q1,2024,20240307,1.0845,5331,BJ-US
BJ-US,2023-10-31,2023Q4,2023,20231117,0.9665,5331,BJ-US
BJ-US,2023-07-31,2023Q3,2023,20230822,0.9718,5331,BJ-US
CME-US,2026-03-31,2026Q1,2026,20260422,3.1781,6200,CME-US
CME-US,2025-12-31,2025Q4,2025,20260204,3.2424,6200,CME-US
CME-US,2025-09-30,2025Q3,2025,20251022,2.4876,6200,CME-US
